,Price,Title,Visitors,Beds,Bedrooms,Baths,Guest Favorite,Superhost,Review Index,Number of reviews,Host Name,Latitude,Longitude,char_superhost,char_free_cancellation,char_fast_wifi,char_dedicated_workspace,char_great_location,char_furry_friends,char_highly_rated,char_self_check-in,char_great_check-in,char_remote_work,char_communication,char_park,char_experienced_host,municipality
306.0,55.0,adorable apartment,3.0,1.0,1.0,1.0,1,1,4.0,58.0,Asimenia,40.67359,22.92864,1,0,0,0,0,0,0,1,0,0,0,0,0,Σταυρούπολη
332.0,40.0,"anna,s haouse",4.0,2.0,2.0,1.0,0,0,4.43375,1.0,Zaxaria,40.6572,22.9209,0,0,0,0,0,1,0,0,0,0,1,0,1,
333.0,43.0,Lovely Apartment,2.0,1.0,1.0,1.0,0,1,4.0,9.0,Giorgos,40.6605,22.924,1,1,0,0,0,0,0,0,0,0,0,0,0,Σταυρούπολη
335.0,70.0,Luxury apartment,4.0,3.0,2.0,1.0,0,1,4.0,9.0,Lazaros,40.6563,22.9064,0,1,0,0,0,1,0,1,0,0,0,0,0,Δημοτική Ενότητα Μενεμένης
343.0,40.0,Forest House,5.0,2.0,1.0,1.0,0,0,4.0,80.0,Dimitris,40.67318,22.8942,0,1,0,0,0,0,0,0,1,0,1,0,0,Δημοτική Ενότητα Ελευθερίου - Κορδελιού
356.0,55.0,Apartment with all the facilities in a quiet residential zone,2.0,1.0,1.0,1.0,1,0,4.0,15.0,Νίκος,40.66056,22.92849,0,0,0,1,0,0,0,0,0,0,1,0,0,Σταυρούπολη
393.0,61.0,"Comfortable bright loft with kitchen desk, parking lot.",4.0,5.0,1.57,1.0,0,0,5.0,4.0,Καλλινικη,40.6794,22.934,0,0,0,1,0,0,0,0,1,0,1,0,0,Σταυρούπολη
397.0,41.0,Thanasis's Home (near to the bus stop+WiFi+A/C),4.0,2.0,1.21,1.0,0,0,4.0,192.0,Thanasis,40.65557,22.92806,0,0,0,0,0,0,0,1,1,0,1,0,0,
0.0,43.0,#C Ioannas Apartments,4.0,2.0,1.0,1.0,1,1,4.0,18.0,Ioanna Apartments,40.6662,22.9039,0,1,0,0,0,1,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
1.0,66.0,Located on the second floor,4.0,2.67,2.0,1.0,0,0,5.0,3.0,Errikos,40.6747513,22.9197983,0,1,0,0,0,0,0,0,1,0,0,0,0,Δημοτική Ενότητα Ευόσμου
2.0,50.0,No 2 Achilles luxury suite,3.0,1.9,1.0,1.0,0,0,4.71,1.0,Vasileios,40.6614,22.8991,0,0,0,0,0,0,0,0,0,0,0,0,0,Δημοτική Ενότητα Ελευθερίου - Κορδελιού
5.0,22.0,Sweet Little House,2.0,1.0,1.0,1.0,0,1,4.0,124.0,Theodoros,40.66211,22.91335,1,0,0,0,0,0,0,1,0,0,0,0,0,Δημοτική Ενότητα Ευόσμου
6.0,45.0,South France Apt,2.0,1.0,1.0,1.0,1,0,5.0,23.0,Dimitris,40.6755,22.8994,0,1,0,0,0,0,0,0,1,0,0,0,0,Δημοτική Ενότητα Ελευθερίου - Κορδελιού
10.0,44.0,Airy apartment,4.0,1.72,1.01,0.0,1,1,4.0,33.0,Olga,40.65775,22.92822,1,0,0,0,0,0,0,0,1,0,0,0,0,Σταυρούπολη
