,_id,title,New,superhost,guest_favorite,total_rating,total_reviews,final_price_per_night,host_name,coordinates,off_region,search_region,d_aristotelous,d_subway,d_buses,telework,fast_wifi,arr_exp,location,check_in,exp_host,pets,com,cancel,parking,num_characteristics,beds,bathrooms,visitors,baths,bedrooms,studio,n_prop,page
51,6620394197d75a34a3e973c6,Lysander 's House,False,False,True,"4,87",15,56.0,Sophocles,"40.66876,22.89854",Kordelio,Menemeni/Ampelokipoi,5.315650660068136,3.746834046099124,1.6285085670388022,False,False,True,False,False,False,True,False,True,False,3,2,0,3,1,1,False,9,2
52,6620394197d75a34a3e973c7,Japanese elegance in the heart of Thessaloniki,False,True,False,"4,75",4,44.0,Innovation,"40.647509,22.924463",Ksirokrini,Menemeni/Ampelokipoi,2.109163657848958,0.5297836113123348,2.0112872422540606,False,False,False,False,True,False,False,False,True,False,3,2,0,3,1,1,False,1,3
53,6620394197d75a34a3e973c8,MAMO X Thessaloniki,True,False,False,"0,0",2,47.0,Panayiotis,"40.6468,22.9236",Ksirokrini,Menemeni/Ampelokipoi,2.1187955189732683,0.5432764787386886,1.9766679818024875,False,False,False,False,False,False,False,False,True,False,1,2,0,3,1,1,False,10,3
54,6620394197d75a34a3e973c9,#5 Ioanna apartments,False,True,True,"5,0",18,42.0,IoannaApartments,"40.6778,22.9351",Stavroupoli,Menemeni/Ampelokipoi,4.754492676738244,3.750724747532126,3.7888810085409044,False,False,False,False,True,False,True,False,True,False,3,2,0,4,1,1,False,13,3
55,6620394197d75a34a3e973ca,#Ioanna Aputmed ~ Nicopolis City Viev,False,True,True,"5,0",9,42.0,IoannaApartments,"40.6852,22.9303",Stavroupoli,Menemeni/Ampelokipoi,5.63691322731068,4.541211692776157,4.152597019006001,False,False,False,False,True,False,True,False,True,False,3,2,0,4,1,1,False,18,3
56,6620394197d75a34a3e973cb,Aigaiou House The hospitable corner of the Aegean,False,True,True,"4,98",82,67.0,Christos,"40.6681,22.9188",Evosmos,Menemeni/Ampelokipoi,4.191157608732307,2.7804283276798363,2.0549625682777513,False,False,False,False,True,False,False,False,True,True,3,1,0,4,1,1,False,3,3
57,6620394197d75a34a3e973cc,#4 Ioanna apartments,False,True,False,"4,83",23,41.0,IoannaApartments,"40.67682,22.93462",Stavroupoli,Menemeni/Ampelokipoi,4.65351048037805,3.6374272734431363,3.6850221739891333,True,False,False,False,False,False,True,False,True,False,3,2,0,4,1,1,False,4,3
58,6620394197d75a34a3e973cd,Comfortable apartment near the city center,False,False,False,"0,0",1,51.0,Magda,"40.65133,22.92453",Ampelokipoi-Menemeni,Menemeni/Ampelokipoi,2.3956440759180713,0.8680057860320601,1.8958261661040245,True,False,False,False,True,False,False,False,True,False,3,2,0,3,1,2,False,5,3
59,6620394197d75a34a3e973ce,#A~ Ioanna 's Apartments,False,True,False,"4,88",41,41.0,IoannaApartments,"40.6662,22.9039",Evosmos,Menemeni/Ampelokipoi,4.7938922454961075,3.2315035035306754,1.3163589194308487,True,False,False,False,False,False,True,False,True,False,3,2,0,4,1,1,False,7,3
60,6620394197d75a34a3e973cf,#Ioanna Apartments |Terminal Station Nikopoli,False,True,False,"4,75",52,43.0,IoannaApartments,"40.6839,22.931",Stavroupoli,Menemeni/Ampelokipoi,5.483452507824723,4.398348988207535,4.06896132786859,True,False,False,False,False,False,True,False,True,False,3,2,0,4,1,1,False,9,3
61,6620394197d75a34a3e973d0,#D Ioanna Apartments,False,True,False,"4,75",16,42.0,IoannaApartments,"40.6662,22.9039",Evosmos,Menemeni/Ampelokipoi,4.7938922454961075,3.2315035035306754,1.3163589194308487,True,False,False,False,False,False,True,False,True,False,3,2,0,4,1,1,False,10,4
62,6620394197d75a34a3e973d1,#2 Ioanna apartments,False,True,False,"4,95",39,41.0,IoannaApartments,"40.67728,22.93619",Stavroupoli,Menemeni/Ampelokipoi,4.683767025919631,3.7069644234824852,3.8175189842419814,False,False,False,False,True,False,True,False,True,False,3,2,0,4,1,1,False,13,4
63,6620394197d75a34a3e973d2,Your apartment - Ampelokipoi of Thessaloniki,False,False,False,"4,43",14,55.0,Suzana,"40.64983,22.92247",Ampelokipoi-Menemeni,Menemeni/Ampelokipoi,2.4041536386868945,0.8305219004420247,1.7659572211298187,True,False,False,False,True,False,False,False,True,False,3,2,0,3,1,2,False,14,4
64,6620394197d75a34a3e973d3,Elton's hospitality,False,False,False,"4,78",40,88.0,Eleni,"40.658,22.9133",Menemeni/Ampelokipoi,Menemeni/Ampelokipoi,3.5889703437983687,2.023212813750363,1.000041898826573,False,False,False,False,False,False,False,True,True,False,2,2,0,4,1,2,False,16,4
65,6620394197d75a34a3e973d4,Raphael 's Suites SKG,False,True,False,"4,86",7,78.0,Raphael,"40.678919,22.936457",Stavroupoli,Menemeni/Ampelokipoi,4.861370193508436,3.8904774846601526,3.9575207623598434,False,False,False,False,True,False,False,False,False,True,3,2,0,6,2,2,False,17,4
66,6620394197d75a34a3e973d5,Next to the train stationT room,False,True,True,"5,0",13,44.0,Evans'Apartments,"40.644,22.933",Ksirokrini,Menemeni/Ampelokipoi,1.3125869050671695,0.32444942600568744,2.8272623173809706,False,False,False,False,True,False,False,False,True,False,3,2,0,4,1,1,False,18,4
67,6620394197d75a34a3e973d6,Spacious Homy apartment 2 bedrooms /4p,True,False,False,"0,0",0,56.0,Zoe,"40.6467,22.9277",Ksirokrini,Menemeni/Ampelokipoi,1.8431898546338321,0.2879343195451065,2.2981370694649432,False,False,False,False,False,False,False,False,True,False,1,2,0,4,1,2,False,2,4
68,6620394197d75a34a3e973d7,2downtown-Dandelion,True,False,False,"0,0",0,69.0,Marino,"40.643769,22.932996",Ksirokrini,Menemeni/Ampelokipoi,1.2945955336621655,0.3283539408952063,2.837577342116511,False,False,False,False,True,False,True,False,True,False,3,3,0,6,0,2,False,7,4
69,6620394197d75a34a3e973d8,Raphael 's Suites SKG,False,True,False,"4,86",7,78.0,Raphael,"40.678919,22.936457",Stavroupoli,Menemeni/Ampelokipoi,4.861370193508436,3.8904774846601526,3.9575207623598434,False,False,False,False,True,False,False,False,True,True,3,2,0,6,2,2,False,1,5
70,6620394197d75a34a3e973d9,Modern & comfortable apartment Evosmos Thessaloniki,False,True,True,"4,71",38,85.0,Anastasia,"40.66664,22.91616",Evosmos,Menemeni/Ampelokipoi,4.172491615957202,2.7092742282412536,1.7859733800233883,False,False,False,False,True,False,False,False,True,True,3,3,0,3,1,2,False,12,5
71,6620394197d75a34a3e973da,Your sweet house,False,False,False,"5,0",3,44.0,Kosmas,"40.644,22.9344",Ksirokrini,Menemeni/Ampelokipoi,1.2328530302110325,0.441874749010498,2.935409627779322,True,False,True,False,False,False,False,False,True,False,3,3,0,4,1,2,False,16,5
72,6620394197d75a34a3e973db,New Studio Office,False,False,False,0.0,0,59.0,Joanna,"40.6575,22.932",Stavroupoli,Menemeni/Ampelokipoi,2.6371184367844647,1.479320789891686,2.5180824387839804,True,False,False,False,False,False,False,False,True,True,3,2,0,3,1,1,False,10,6
73,6620394197d75a34a3e973dc,Luxurious suite in Thessaloniki,False,True,True,"4,95",57,86.0,Alexandra,"40.669,22.921",Evosmos,Menemeni/Ampelokipoi,4.189143809041322,2.8245751312344622,2.25486309315278,True,False,True,False,False,False,False,False,False,False,3,3,0,4,0,1,False,11,6
74,6620394197d75a34a3e973dd,Elegant urban studio with balcony,False,False,False,"4,50",16,53.0,EgUrbanStay,"40.64261,22.9315",Ksirokrini,Menemeni/Ampelokipoi,1.305852249802324,0.2763713836710957,2.7818392327436157,False,False,False,False,True,False,False,False,True,True,3,2,0,3,1,0,True,12,6
75,6620394197d75a34a3e973de,Modern home near the train station,False,True,False,"4,75",61,50.0,Georgios,"40.64394,22.93042",Ksirokrini,Menemeni/Ampelokipoi,1.4688570211560388,0.11455825189231275,2.6331535987304946,False,False,False,False,True,False,False,False,True,False,3,1,0,4,0,1,False,18,6
76,6620394197d75a34a3e973df,Bright apartment 2 bedrooms overlooking the port,False,True,False,"4,83",30,71.0,George,"40.6455,22.92651",Ksirokrini,Menemeni/Ampelokipoi,1.8354801459761316,0.25840679962689994,2.260582546440002,False,False,False,False,False,False,True,False,True,False,3,3,0,6,1,2,False,6,6
77,6620394197d75a34a3e973e0,adorable apartment,False,True,True,"4,86",58,54.0,Silver,"40.67359,22.92864",Stavroupoli,Menemeni/Ampelokipoi,4.419461142346865,3.2495908366352615,3.0715496322108207,False,False,False,False,True,False,False,False,True,True,3,1,0,3,0,1,False,9,7
78,6620394197d75a34a3e973e1,Outs,False,True,False,"4,84",56,35.0,Evans'Apartments,"40.64425,22.93262",Ksirokrini,Menemeni/Ampelokipoi,1.3548840832402862,0.2900879651517145,2.7866524510979804,False,False,False,False,True,False,False,False,True,False,3,2,0,3,1,1,False,14,8
79,6620394197d75a34a3e973e2,Virginia apartment,False,False,False,"5,0",3,70.0,Elizabeth,"40.6756,22.9244",Stavroupoli,Menemeni/Ampelokipoi,4.745446314939682,3.496146848423988,2.9973184785604086,False,False,False,False,False,False,False,False,True,True,2,0,0,4,1,0,True,10,9
80,6620394197d75a34a3e973e3,Lasari Comfort Living 1-bedroom apt.,False,True,False,"0,0",1,62.0,Georgios,"40.6459,22.9292",Ksirokrini,Menemeni/Ampelokipoi,1.6897941414176156,0.17028223700097456,2.4490067568615475,False,False,False,False,True,False,False,False,True,False,3,2,0,4,1,1,False,2,9
